epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,4712.36,0.99811,2.40936,1.02412,0.33842,0.17318,0.13372,0.08818,1.09939,3.31417,1.04242,5.33764e-05,5.33764e-05,5.33764e-05
35,4850.69,1.04045,2.46412,1.03127,0.33346,0.17044,0.13549,0.09025,1.10972,3.31871,1.05803,5.03272e-05,5.03272e-05,5.03272e-05
36,4988.86,1.04866,2.44621,1.03362,0.31102,0.17419,0.13579,0.08972,1.11262,3.34409,1.06688,4.7278e-05,4.7278e-05,4.7278e-05
37,5127.16,1.0156,2.3967,1.02732,0.28113,0.19281,0.12491,0.07944,1.12762,3.2904,1.08029,4.42288e-05,4.42288e-05,4.42288e-05
38,5265.35,0.99478,2.42033,1.01313,0.3607,0.16964,0.1231,0.07819,1.12629,3.29778,1.07011,4.11796e-05,4.11796e-05,4.11796e-05
39,5403.34,0.99226,2.34325,1.04213,0.34916,0.17283,0.13623,0.08899,1.11902,3.35719,1.07152,3.81304e-05,3.81304e-05,3.81304e-05
40,5541.54,1.01731,2.33217,1.03299,0.37214,0.15595,0.12854,0.08442,1.11249,3.35447,1.07489,3.50812e-05,3.50812e-05,3.50812e-05
41,5679.22,0.96457,2.716,0.9856,0.32335,0.16056,0.14427,0.10655,1.14361,3.37724,1.10723,3.2032e-05,3.2032e-05,3.2032e-05
42,5816.27,0.94899,2.60776,0.98657,0.47845,0.12371,0.1433,0.10163,1.13501,3.38951,1.09581,2.89828e-05,2.89828e-05,2.89828e-05
43,5953.46,0.93799,2.57458,0.98138,0.36277,0.14195,0.13883,0.11336,1.13478,3.35101,1.11336,2.59336e-05,2.59336e-05,2.59336e-05
44,6090.69,0.95026,2.52636,0.99593,0.34126,0.14166,0.1377,0.10149,1.10671,3.3625,1.06875,2.28844e-05,2.28844e-05,2.28844e-05
45,6227.71,0.93251,2.4996,0.97798,0.36702,0.14086,0.13738,0.10058,1.10083,3.34234,1.07052,1.98352e-05,1.98352e-05,1.98352e-05
46,6364.78,0.90494,2.4634,0.96985,0.34672,0.1398,0.13773,0.10007,1.13448,3.32456,1.09861,1.6786e-05,1.6786e-05,1.6786e-05
47,6501.63,0.93474,2.51211,1.00511,0.36143,0.14245,0.14177,0.10479,1.10346,3.34706,1.06504,1.37368e-05,1.37368e-05,1.37368e-05
48,6638.71,0.89939,2.46912,0.97858,0.40944,0.12856,0.14383,0.1152,1.09118,3.33128,1.05821,1.06876e-05,1.06876e-05,1.06876e-05
49,6775.81,0.91108,2.43903,0.96916,0.36405,0.14188,0.14414,0.11567,1.09524,3.32934,1.06215,7.6384e-06,7.6384e-06,7.6384e-06
50,6912.83,0.90841,2.44173,0.97757,0.39255,0.14199,0.14342,0.11663,1.10531,3.32289,1.06592,4.5892e-06,4.5892e-06,4.5892e-06
