epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.182,1.31821,5.38435,1.25841,0,0,0,0,1.0401,5.37751,1.05058,5.01111e-05,5.01111e-05,5.01111e-05
2,280.305,1.27035,5.01833,1.20817,0.01786,0.12688,0.01822,0.0144,1.17429,4.9729,1.06613,9.94358e-05,9.94358e-05,9.94358e-05
3,419.084,1.30024,4.5604,1.19268,0.19062,0.13228,0.02644,0.01905,1.16519,4.41951,1.07271,0.000146728,0.000146728,0.000146728
4,557.782,1.27005,4.28625,1.17395,0.55694,0.05829,0.03205,0.02262,1.18542,4.21072,1.11405,0.000144852,0.000144852,0.000144852
5,696.402,1.25231,4.10818,1.1678,0.56487,0.08168,0.04202,0.03031,1.17997,4.04501,1.11791,0.000141803,0.000141803,0.000141803
6,835.233,1.25313,3.93377,1.16239,0.63859,0.06082,0.04348,0.03106,1.17476,3.94743,1.13279,0.000138754,0.000138754,0.000138754
7,974.9,1.27894,3.80857,1.17492,0.59771,0.07605,0.05282,0.04084,1.15888,3.73102,1.10907,0.000135705,0.000135705,0.000135705
8,1114.29,1.24451,3.70339,1.14841,0.63909,0.07249,0.05768,0.04371,1.14303,3.69012,1.10536,0.000132656,0.000132656,0.000132656
9,1252.82,1.22361,3.68971,1.14214,0.4644,0.11133,0.06704,0.05066,1.16941,3.60437,1.12696,0.000129606,0.000129606,0.000129606
10,1391.65,1.23006,3.49836,1.13256,0.50173,0.08665,0.07444,0.0575,1.14182,3.62968,1.11252,0.000126557,0.000126557,0.000126557
11,1530.11,1.16541,3.38012,1.12963,0.47049,0.10047,0.07497,0.05207,1.15486,3.51595,1.13798,0.000123508,0.000123508,0.000123508
12,1668.59,1.16019,3.37991,1.10464,0.41585,0.10694,0.07662,0.05463,1.13364,3.47278,1.10048,0.000120459,0.000120459,0.000120459
13,1807.19,1.17561,3.3357,1.12071,0.505,0.10726,0.08619,0.05924,1.12218,3.45943,1.07978,0.00011741,0.00011741,0.00011741
14,1945.67,1.14526,3.19569,1.09116,0.51881,0.09645,0.09147,0.07055,1.13131,3.47298,1.0787,0.00011436,0.00011436,0.00011436
15,2084.09,1.17115,3.2037,1.12218,0.51579,0.11899,0.0942,0.07492,1.13116,3.45477,1.09162,0.000111311,0.000111311,0.000111311
16,2222.43,1.12246,3.13603,1.08469,0.48631,0.12262,0.11466,0.08179,1.13522,3.39695,1.0824,0.000108262,0.000108262,0.000108262
17,2360.97,1.11946,3.08881,1.08054,0.42335,0.12504,0.09097,0.06702,1.1492,3.41215,1.08257,0.000105213,0.000105213,0.000105213
18,2499.36,1.13445,3.0307,1.10118,0.37429,0.10692,0.08734,0.0662,1.12766,3.40672,1.06821,0.000102164,0.000102164,0.000102164
19,2637.62,1.12024,2.98145,1.08891,0.45895,0.12027,0.09353,0.07263,1.11844,3.42685,1.06447,9.91144e-05,9.91144e-05,9.91144e-05
20,2776.1,1.11211,2.89271,1.07653,0.4417,0.11885,0.11305,0.08296,1.10937,3.31592,1.07949,9.60652e-05,9.60652e-05,9.60652e-05
21,2914.74,1.09362,2.90559,1.07758,0.50012,0.10626,0.12604,0.08272,1.09956,3.35549,1.06634,9.3016e-05,9.3016e-05,9.3016e-05
22,3053.36,1.12375,2.80377,1.08439,0.47207,0.14034,0.13908,0.09575,1.10528,3.34925,1.0587,8.99668e-05,8.99668e-05,8.99668e-05
23,3191.76,1.0859,2.74385,1.06165,0.35682,0.11596,0.11415,0.08369,1.10773,3.3533,1.06305,8.69176e-05,8.69176e-05,8.69176e-05
24,3330.3,1.08701,2.83278,1.07233,0.47363,0.10685,0.12778,0.09093,1.10982,3.39388,1.07411,8.38684e-05,8.38684e-05,8.38684e-05
25,3468.22,1.09161,2.73764,1.06401,0.45193,0.11841,0.1095,0.08326,1.1112,3.38903,1.06474,8.08192e-05,8.08192e-05,8.08192e-05
26,3606.41,1.04873,2.64507,1.04131,0.33989,0.1474,0.12848,0.10208,1.08518,3.29786,1.06969,7.777e-05,7.777e-05,7.777e-05
27,3744.79,1.07983,2.65216,1.04948,0.42119,0.16387,0.14183,0.09274,1.08785,3.29529,1.0478,7.47208e-05,7.47208e-05,7.47208e-05
28,3882.94,1.04017,2.59542,1.03714,0.34365,0.17113,0.1181,0.08921,1.1101,3.34642,1.06285,7.16716e-05,7.16716e-05,7.16716e-05
29,4020.99,1.04514,2.61291,1.03549,0.34571,0.13418,0.12781,0.09313,1.10802,3.24048,1.0943,6.86224e-05,6.86224e-05,6.86224e-05
30,4159.09,1.05585,2.66221,1.03193,0.28789,0.16693,0.13532,0.0896,1.07075,3.25771,1.05025,6.55732e-05,6.55732e-05,6.55732e-05
31,4297.12,1.01225,2.52489,1.03346,0.33451,0.15295,0.12982,0.08773,1.09791,3.28167,1.05979,6.2524e-05,6.2524e-05,6.2524e-05
32,4435.1,1.04384,2.54304,1.05912,0.36072,0.16139,0.13582,0.09645,1.09287,3.24864,1.05572,5.94748e-05,5.94748e-05,5.94748e-05
33,4574.26,1.02715,2.42865,1.04072,0.34313,0.18428,0.1349,0.08969,1.09805,3.29442,1.04778,5.64256e-05,5.64256e-05,5.64256e-05
