epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.142,1.30333,5.33125,1.2203,0,0,0,0,1.05757,5.41653,1.09888,5.01111e-05,5.01111e-05,5.01111e-05
2,204.923,1.27052,5.00304,1.19614,0.03109,0.11644,0.0383,0.02883,1.16159,5.04919,1.07596,9.94358e-05,9.94358e-05,9.94358e-05
3,306.844,1.33068,4.63626,1.20754,0.01324,0.39482,0.03777,0.026,1.20674,4.55827,1.08912,0.000146728,0.000146728,0.000146728
4,409.345,1.29884,4.3811,1.19229,0.55551,0.04848,0.04158,0.02873,1.19955,4.28665,1.1279,0.000144852,0.000144852,0.000144852
5,511.246,1.29458,4.23046,1.1748,0.5461,0.07551,0.05228,0.04106,1.25201,4.11863,1.13358,0.000141803,0.000141803,0.000141803
6,613.155,1.30311,4.05644,1.17739,0.58578,0.05497,0.052,0.03775,1.22992,3.99094,1.13184,0.000138754,0.000138754,0.000138754
7,715.272,1.29495,3.94705,1.17966,0.47079,0.07687,0.05264,0.03894,1.22731,3.89662,1.13818,0.000135705,0.000135705,0.000135705
8,817.649,1.28417,3.89034,1.17262,0.58168,0.08235,0.06534,0.04733,1.23341,3.80603,1.13951,0.000132656,0.000132656,0.000132656
9,919.525,1.26938,3.86355,1.16648,0.48381,0.09307,0.07,0.04949,1.2269,3.74223,1.13209,0.000129606,0.000129606,0.000129606
10,1021.71,1.26742,3.71221,1.15061,0.49201,0.0983,0.0748,0.05312,1.2055,3.75048,1.11468,0.000126557,0.000126557,0.000126557
11,1123.44,1.20834,3.61791,1.15076,0.41224,0.09449,0.06982,0.04834,1.20094,3.69425,1.1285,0.000123508,0.000123508,0.000123508
12,1225.12,1.2318,3.61461,1.13983,0.43943,0.12494,0.0857,0.05714,1.22187,3.65466,1.13067,0.000120459,0.000120459,0.000120459
13,1326.89,1.24077,3.58717,1.15301,0.41941,0.10436,0.0738,0.05241,1.19759,3.68203,1.12444,0.00011741,0.00011741,0.00011741
14,1428.74,1.22788,3.51289,1.12676,0.48675,0.12394,0.10035,0.05965,1.20735,3.68579,1.11191,0.00011436,0.00011436,0.00011436
15,1530.54,1.2274,3.43886,1.15281,0.51171,0.09719,0.10343,0.059,1.18354,3.61547,1.10753,0.000111311,0.000111311,0.000111311
16,1632.36,1.1815,3.4042,1.12114,0.50373,0.10841,0.10278,0.06459,1.20047,3.58975,1.11534,0.000108262,0.000108262,0.000108262
17,1734.1,1.18287,3.3814,1.11264,0.48241,0.11453,0.10289,0.06208,1.19111,3.55845,1.11708,0.000105213,0.000105213,0.000105213
18,1835.64,1.18217,3.30378,1.12745,0.4269,0.1116,0.09,0.06165,1.17925,3.54132,1.10777,0.000102164,0.000102164,0.000102164
19,1937.22,1.18511,3.29894,1.12159,0.45691,0.11335,0.09835,0.06664,1.16046,3.53618,1.08555,9.91144e-05,9.91144e-05,9.91144e-05
20,2039.03,1.15288,3.199,1.09964,0.42757,0.14227,0.0981,0.06858,1.16722,3.55186,1.10189,9.60652e-05,9.60652e-05,9.60652e-05
21,2140.94,1.15853,3.21535,1.12146,0.39755,0.13459,0.09678,0.06865,1.17106,3.49616,1.1126,9.3016e-05,9.3016e-05,9.3016e-05
22,2242.97,1.20005,3.14139,1.11344,0.47752,0.13344,0.11375,0.07243,1.16902,3.48635,1.11369,8.99668e-05,8.99668e-05,8.99668e-05
23,2344.74,1.17125,3.06815,1.10516,0.49544,0.11816,0.10068,0.07275,1.15233,3.45776,1.11145,8.69176e-05,8.69176e-05,8.69176e-05
24,2446.44,1.15858,3.1731,1.10873,0.49172,0.12139,0.11578,0.07254,1.15431,3.50429,1.0989,8.38684e-05,8.38684e-05,8.38684e-05
25,2547.77,1.15501,3.08882,1.1018,0.44853,0.11704,0.0956,0.06765,1.15974,3.49443,1.1089,8.08192e-05,8.08192e-05,8.08192e-05
26,2649.13,1.12987,3.0317,1.08109,0.39808,0.1619,0.12539,0.0793,1.15723,3.48501,1.10308,7.777e-05,7.777e-05,7.777e-05
27,2750.75,1.17807,3.06622,1.09874,0.47247,0.12042,0.13128,0.08644,1.14877,3.49492,1.09246,7.47208e-05,7.47208e-05,7.47208e-05
28,2852.22,1.1307,2.98259,1.08216,0.43373,0.13101,0.10776,0.07715,1.15184,3.509,1.093,7.16716e-05,7.16716e-05,7.16716e-05
