epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2953.44,1.13132,2.99049,1.07929,0.41089,0.14741,0.12453,0.07852,1.13879,3.50497,1.08918,6.86224e-05,6.86224e-05,6.86224e-05
30,3054.84,1.12634,3.04257,1.07842,0.44552,0.1379,0.10921,0.07482,1.15848,3.4498,1.09019,6.55732e-05,6.55732e-05,6.55732e-05
31,3156.12,1.10789,2.92899,1.08357,0.44349,0.13565,0.10674,0.07447,1.1535,3.44616,1.08864,6.2524e-05,6.2524e-05,6.2524e-05
32,3257.33,1.10131,2.88543,1.08001,0.48822,0.11193,0.10839,0.0744,1.13338,3.44882,1.08759,5.94748e-05,5.94748e-05,5.94748e-05
33,3358.69,1.12344,2.87816,1.08922,0.49198,0.12276,0.10942,0.0763,1.15134,3.4403,1.09602,5.64256e-05,5.64256e-05,5.64256e-05
34,3459.96,1.08669,2.85709,1.07144,0.45505,0.12671,0.11057,0.07902,1.17389,3.41186,1.10192,5.33764e-05,5.33764e-05,5.33764e-05
35,3561.36,1.13637,2.90948,1.07863,0.52705,0.1162,0.10579,0.07526,1.16679,3.43554,1.08821,5.03272e-05,5.03272e-05,5.03272e-05
36,3663,1.13302,2.91409,1.07851,0.51298,0.11663,0.11167,0.07569,1.16526,3.4623,1.09124,4.7278e-05,4.7278e-05,4.7278e-05
37,3764.49,1.10561,2.82136,1.07151,0.38906,0.13935,0.10826,0.07664,1.16702,3.41837,1.10251,4.42288e-05,4.42288e-05,4.42288e-05
38,3865.6,1.09848,2.89038,1.06667,0.46713,0.13012,0.1102,0.0774,1.15628,3.42624,1.1013,4.11796e-05,4.11796e-05,4.11796e-05
39,3966.82,1.07641,2.78116,1.08117,0.46639,0.13405,0.11164,0.0789,1.16568,3.42572,1.09527,3.81304e-05,3.81304e-05,3.81304e-05
40,4069.26,1.10809,2.76566,1.07812,0.41226,0.1476,0.11238,0.07863,1.14725,3.44141,1.09634,3.50812e-05,3.50812e-05,3.50812e-05
41,4170.22,1.0274,3.03392,1.01456,0.44281,0.13381,0.11043,0.07901,1.18437,3.53128,1.08709,3.2032e-05,3.2032e-05,3.2032e-05
42,4270.48,1.02049,2.996,1.01111,0.41515,0.12829,0.11068,0.07947,1.18845,3.52442,1.094,2.89828e-05,2.89828e-05,2.89828e-05
43,4371.12,1.02971,2.9351,1.0249,0.53671,0.11415,0.1092,0.07854,1.17501,3.47655,1.09999,2.59336e-05,2.59336e-05,2.59336e-05
44,4471.77,1.02719,2.92116,1.04872,0.39031,0.13096,0.10884,0.07907,1.16382,3.47182,1.09495,2.28844e-05,2.28844e-05,2.28844e-05
45,4571.99,1.00144,2.89339,1.00823,0.418,0.13289,0.10544,0.076,1.1705,3.46055,1.09463,1.98352e-05,1.98352e-05,1.98352e-05
46,4672.48,0.98494,2.85824,1.00496,0.4404,0.14247,0.10869,0.07847,1.16724,3.45067,1.09408,1.6786e-05,1.6786e-05,1.6786e-05
47,4772.61,0.99648,2.87175,1.02706,0.3921,0.15327,0.11235,0.08161,1.16812,3.45454,1.09259,1.37368e-05,1.37368e-05,1.37368e-05
48,4872.91,0.98202,2.89791,1.01031,0.38929,0.15346,0.1106,0.07949,1.16625,3.45456,1.096,1.06876e-05,1.06876e-05,1.06876e-05
49,4973.22,1.00532,2.87987,1.00763,0.38599,0.15289,0.11123,0.08001,1.16352,3.44527,1.09387,7.6384e-06,7.6384e-06,7.6384e-06
50,5073.44,0.99136,2.84129,1.00809,0.36131,0.15706,0.11241,0.08123,1.16479,3.45295,1.09368,4.5892e-06,4.5892e-06,4.5892e-06
